Process Name,App Name,DLL Count,SHA256
git-daemon.exe,Git v2.54.0.1,6,4b33e90cf09b3edb681513084400f5265ee682ae6111ba651e86cee3dd2a9ddb
git.exe,Git v2.54.0.1,6,cab4c4eea1d869cf9f7be73868dc9a90ad2df1b1b673e5f8c8714a576c25ea96
getopt.exe,getopt v0.0.0.0,4,
find.exe,find v0.0.0.0,4,
file.exe,file v0.0.0.0,7,9c765a82bd2060936e562cb216107fb5611f865ec64ce9b55116cf606bbc15e4
expr.exe,expr v0.0.0.0,5,
env.exe,env v0.0.0.0,4,
echo.exe,echo v0.0.0.0,4,
dirname.exe,dirname v0.0.0.0,4,
diff3.exe,diff3 v0.0.0.0,4,
diff.exe,diff v0.0.0.0,4,
date.exe,date v0.0.0.0,4,
cut.exe,cut v0.0.0.0,4,
cp.exe,cp v0.0.0.0,4,
comm.exe,comm v0.0.0.0,4,
CodeCoverage.exe,Microsoft® Visual Studio® v18.1.26126.712602,2,3f1641c3f2f944f177b6f961d25d5675c6064e74a053f171490cd0e9ab4365e5
cmp.exe,cmp v0.0.0.0,4,
cat.exe,cat v0.0.0.0,4,
bscmake.exe,Microsoft® Visual Studio® v14.50.35729.0,3,239a84ac06e9e0656f2bb09cff3b0672ccc60da1e4f5cf75f7d449e77cfe6d76
brotli.exe,brotli v0.0.0.0,4,
basenc.exe,basenc v0.0.0.0,4,
basename.exe,basename v0.0.0.0,4,
b2sum.exe,b2sum v0.0.0.0,4,
awk.exe,awk v0.0.0.0,9,
ADelRCP.exe,ADelRCP Dynamic Link Library v26.1.21367.0,2,427f73c5ac9648b43487585882525bf83b40512d14f855c819702d45dbcbef1e
